time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
33880.548257,0.412778,0,0,0,0,0,0,2,2,0,0,0,0
13985.298697,0.000000,1,1,0,3,3,0,0,0,0,1,1,0
26178.184591,0.063942,0,0,0,1,1,0,2,2,0,1,1,0
32571.950361,0.412778,0,0,0,0,0,0,2,2,0,0,0,0
33721.690009,0.397222,0,0,0,0,0,0,0,0,0,0,0,0
32516.143429,0.412778,0,0,0,0,0,0,2,2,0,0,0,0
33149.409474,0.412778,0,0,0,0,0,0,2,2,0,0,0,0
17811.053648,0.365655,0,0,0,3,3,0,2,2,0,0,0,0
23158.023641,0.007143,1,1,0,1,1,0,0,0,0,1,1,0
22308.329192,0.007143,1,1,0,1,1,0,0,0,0,1,1,0
22292.900903,0.007143,1,1,0,1,1,0,0,0,0,1,1,0
21099.480705,0.302282,1,1,0,2,2,0,1,1,0,0,0,0
28119.018888,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
17569.770537,0.365655,0,0,0,3,3,0,2,2,0,0,0,0
23631.926661,0.310694,0,0,0,2,2,0,2,2,0,0,0,0
20362.691825,0.302282,1,1,0,2,2,0,1,1,0,0,0,0
15577.942467,0.016111,0,0,0,3,3,0,2,2,0,1,1,0
17971.977375,0.007692,1,1,0,2,2,0,1,1,0,1,1,0
35018.892859,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
34031.071843,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
18587.616091,0.005556,1,1,0,2,2,0,2,2,0,1,1,0
33972.021102,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
34159.565967,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
33751.043234,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
27452.194770,0.017143,0,0,0,1,1,0,0,0,0,1,1,0
18235.487883,0.302282,0,0,0,3,3,0,1,1,0,0,0,0
19477.566802,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
22024.041198,0.024498,0,0,0,2,2,0,2,2,0,1,1,0
18668.456748,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
25556.719626,0.351290,1,1,0,1,1,0,0,0,0,0,0,0
24535.925064,0.351290,1,1,0,1,1,0,0,0,0,0,0,0
24683.912323,0.351290,1,1,0,1,1,0,0,0,0,0,0,0
24589.392715,0.351290,1,1,0,1,1,0,0,0,0,0,0,0
27137.174274,0.019643,0,0,0,1,1,0,1,1,0,1,1,0
33410.191914,0.412778,0,0,0,0,0,0,2,2,0,0,0,0
32022.760749,0.007143,0,0,0,0,0,0,0,0,0,1,1,0
25258.269542,0.430337,0,0,0,2,2,0,0,0,0,0,0,0
24260.259398,0.430337,0,0,0,2,2,0,0,0,0,0,0,0
18102.565555,0.306944,0,0,0,3,3,0,0,0,0,0,0,0
30221.094820,0.025000,0,0,0,0,0,0,2,2,0,1,1,0
21855.753808,0.007143,1,1,0,1,1,0,0,0,0,1,1,0
24002.116165,0.352282,0,0,0,2,2,0,1,1,0,0,0,0
20177.623314,0.332837,1,1,0,2,2,0,1,1,0,0,0,0
28429.346195,0.334425,0,0,0,1,1,0,1,1,0,0,0,0
21887.559277,0.036765,1,1,0,1,1,0,2,2,0,1,1,0
34074.258903,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
33058.163513,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
32982.196062,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
32595.311378,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
12973.808422,0.010000,1,1,0,3,3,0,1,1,0,1,1,0
33182.172344,0.425397,0,0,0,0,0,0,1,1,0,0,0,0
17655.274712,0.302282,0,0,0,3,3,0,1,1,0,0,0,0
29740.755307,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
28907.022839,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
24533.993778,0.352282,0,0,0,2,2,0,1,1,0,0,0,0
23439.206027,0.031448,0,0,0,2,2,0,0,0,0,1,1,0
18564.976961,0.310480,0,0,0,3,3,0,0,0,0,0,0,0
28586.977907,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
28587.911610,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
28432.174558,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
29003.341772,0.391806,0,0,0,1,1,0,2,2,0,0,0,0
23379.546387,0.007143,1,1,0,1,1,0,0,0,0,1,1,0
25479.286650,0.368254,1,1,0,1,1,0,1,1,0,0,0,0
28061.961106,0.415556,1,1,0,0,0,0,1,1,0,0,0,0
26580.628599,0.063942,0,0,0,1,1,0,2,2,0,1,1,0
28277.060569,0.415556,1,1,0,0,0,0,1,1,0,0,0,0
16201.529430,0.000000,0,0,0,3,3,0,1,1,0,1,1,0
28169.389137,0.415556,1,1,0,0,0,0,1,1,0,0,0,0
28054.786452,0.415556,1,1,0,0,0,0,1,1,0,0,0,0
27600.409625,0.415556,1,1,0,0,0,0,1,1,0,0,0,0
19191.210287,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
18466.579840,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
18351.446035,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
15985.713478,0.008333,0,0,0,3,3,0,0,0,0,1,1,0
13152.165099,0.000000,1,1,0,3,3,0,0,0,0,1,1,0
22011.545142,0.031448,0,0,0,2,2,0,0,0,0,1,1,0
18382.339304,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
22264.161956,0.031448,0,0,0,2,2,0,0,0,0,1,1,0
18455.916369,0.042698,1,1,0,2,2,0,0,0,0,1,1,0
28422.008237,0.427778,1,1,0,0,0,0,2,2,0,0,0,0
15976.406253,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
15127.180154,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
15070.209010,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
32130.106810,0.007143,0,0,0,0,0,0,0,0,0,1,1,0
14976.573196,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
22453.067239,0.031448,0,0,0,2,2,0,0,0,0,1,1,0
14997.191613,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
15062.796443,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
14886.436428,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
15174.120898,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
15001.513567,0.348359,1,1,0,3,3,0,1,1,0,0,0,0
