time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
14221.969377,0.000000,0,1,1,3,3,1,0,0,3,1,0,10
13546.906289,0.000000,1,1,1,3,3,1,0,0,3,1,0,10
14422.898355,0.000000,1,1,1,3,3,1,0,0,3,1,0,9
19927.394078,0.292758,1,1,14,0,2,2,2,2,31,0,0,8
33328.379123,0.357341,0,0,311,0,0,3,2,0,26,1,0,5
34440.161094,0.412500,0,0,311,0,0,3,1,0,26,1,0,4
26917.176850,0.045391,1,0,89,1,1,3,0,2,1,1,1,0
33426.402072,0.412778,0,0,24,1,0,3,2,2,34,1,0,0
16331.186048,0.022692,0,0,3,3,3,2,0,2,25,1,1,9
16433.211447,0.348359,1,1,4,1,3,4,1,1,8,0,0,5
15116.157162,0.280258,1,1,4,1,3,5,1,2,8,0,0,5
19387.742088,0.167897,0,1,3,3,2,4,2,0,36,1,0,7
27086.307429,0.019643,0,0,4,1,1,4,1,1,11,0,1,0
15274.556671,0.348359,1,1,1,1,3,4,1,1,8,0,0,5
15170.644068,0.348359,1,1,1,1,3,4,1,1,7,0,0,5
15354.712922,0.348359,1,1,1,1,3,4,1,1,14,0,0,7
15229.030892,0.348359,1,1,7,2,3,4,1,1,7,0,0,5
15083.327771,0.348359,1,1,1,2,3,4,1,1,5,0,0,5
15191.239234,0.348359,1,1,1,2,3,4,1,1,4,0,0,5
15421.643091,0.297917,1,1,1,2,3,4,1,0,5,0,0,5
33800.828157,0.412778,0,0,202,3,0,4,2,2,19,0,0,10
33347.543405,0.412778,0,0,202,3,0,4,2,2,19,0,0,8
28473.701314,0.355556,0,1,31,3,0,1,0,0,16,0,0,1
28714.880270,0.355556,0,1,8,3,0,1,0,0,9,0,0,1
27960.058423,0.012143,1,0,307,1,1,5,1,2,32,1,0,10
15411.648634,0.298611,0,1,1,0,3,5,0,0,5,0,0,10
28471.114637,0.355556,0,1,1,3,0,1,0,0,16,0,0,1
